"imdb_id"	"synopsis_source"
"tt0057603"	"imdb"
"tt1733125"	"imdb"
"tt0033045"	"imdb"
"tt0113862"	"imdb"
"tt0086250"	"imdb"
"tt1315981"	"imdb"
"tt0249380"	"wikipedia"
"tt0408790"	"imdb"
"tt0021079"	"imdb"
"tt1615065"	"imdb"
"tt0089606"	"wikipedia"
"tt0078908"	"imdb"
"tt0795493"	"wikipedia"
"tt0093389"	"imdb"
"tt0120899"	"wikipedia"
"tt1937113"	"imdb"
"tt1232776"	"imdb"
"tt0402399"	"imdb"
"tt1619029"	"imdb"
"tt0102007"	"imdb"
"tt0398712"	"imdb"
"tt0036868"	"wikipedia"
"tt0116571"	"wikipedia"
"tt0104779"	"imdb"
"tt2005374"	"wikipedia"
"tt0865556"	"wikipedia"
"tt1454029"	"imdb"
"tt1411238"	"imdb"
"tt0118689"	"imdb"
"tt1716772"	"imdb"
"tt0055505"	"imdb"
"tt0053559"	"imdb"
"tt0370032"	"imdb"
"tt0087472"	"imdb"
"tt5700672"	"imdb"
"tt0350774"	"wikipedia"
"tt0365485"	"imdb"
"tt0120102"	"imdb"
"tt0219653"	"imdb"
"tt0298228"	"wikipedia"
"tt4731136"	"imdb"
"tt0093603"	"wikipedia"
"tt0373283"	"wikipedia"
"tt0948470"	"imdb"
"tt1109624"	"imdb"
"tt4226388"	"imdb"
"tt0046521"	"wikipedia"
"tt3832914"	"imdb"
"tt0070222"	"imdb"
"tt0233298"	"imdb"
"tt0078748"	"imdb"
"tt1094249"	"wikipedia"
"tt1059969"	"wikipedia"
"tt0857295"	"wikipedia"
"tt0298814"	"imdb"
"tt0035140"	"wikipedia"
"tt0249115"	"imdb"
"tt2937898"	"wikipedia"
"tt0100691"	"imdb"
"tt1234548"	"imdb"
"tt0044079"	"wikipedia"
"tt0112864"	"wikipedia"
"tt1479962"	"imdb"
"tt0902272"	"imdb"
"tt1194173"	"imdb"
"tt0080117"	"wikipedia"
"tt0056059"	"imdb"
"tt0105690"	"imdb"
"tt1175491"	"imdb"
"tt0256009"	"imdb"
"tt0488085"	"wikipedia"
"tt2402105"	"imdb"
"tt0880648"	"wikipedia"
"tt2216240"	"imdb"
"tt1270262"	"imdb"
"tt0060397"	"imdb"
"tt1196946"	"imdb"
"tt0072890"	"wikipedia"
"tt0093565"	"wikipedia"
"tt0082694"	"imdb"
"tt0419449"	"imdb"
"tt0072730"	"imdb"
"tt0088889"	"imdb"
"tt1409004"	"imdb"
"tt0034398"	"imdb"
"tt0076716"	"wikipedia"
"tt0310793"	"imdb"
"tt0365830"	"wikipedia"
"tt1778258"	"imdb"
"tt1099212"	"imdb"
"tt2015381"	"imdb"
"tt1843866"	"imdb"
"tt0443527"	"wikipedia"
"tt0249371"	"imdb"
"tt0035664"	"imdb"
"tt0099763"	"imdb"
"tt1637688"	"imdb"
"tt0069005"	"imdb"
"tt0094592"	"wikipedia"
"tt1270479"	"imdb"
"tt0110632"	"imdb"
"tt1596350"	"wikipedia"
"tt1551632"	"imdb"
"tt0783598"	"wikipedia"
"tt0088757"	"imdb"
"tt0414982"	"imdb"
"tt0102724"	"imdb"
"tt3397884"	"imdb"
"tt0901494"	"imdb"
"tt0112288"	"imdb"
"tt0101516"	"imdb"
"tt0091474"	"wikipedia"
"tt0036696"	"imdb"
"tt0102960"	"imdb"
"tt1144884"	"wikipedia"
"tt0337573"	"wikipedia"
"tt0107289"	"imdb"
"tt0037415"	"imdb"
"tt0974661"	"imdb"
"tt1094581"	"wikipedia"
"tt0119360"	"wikipedia"
"tt1029231"	"imdb"
"tt0383534"	"imdb"
"tt0112740"	"imdb"
"tt3949660"	"imdb"
"tt0388795"	"wikipedia"
"tt0058182"	"wikipedia"
"tt0042593"	"wikipedia"
"tt0401815"	"imdb"
"tt0112851"	"imdb"
"tt0298148"	"wikipedia"
"tt0068816"	"imdb"
"tt1980929"	"imdb"
"tt0063671"	"imdb"
"tt0117008"	"imdb"
"tt3032476"	"imdb"
"tt0486946"	"imdb"
"tt0372183"	"imdb"
"tt0399934"	"imdb"
"tt3181776"	"imdb"
