"imdb_id"	"title"	"tags"
"tt0057603"	"I tre volti della paura"	"cult, horror, gothic, murder, atmospheric"
"tt1733125"	"Dungeons & Dragons: The Book of Vile Darkness"	"violence"
"tt0033045"	"The Shop Around the Corner"	"romantic"
"tt0113862"	"Mr. Holland's Opus"	"inspiring, romantic, stupid, feel-good"
"tt0086250"	"Scarface"	"cruelty, murder, dramatic, cult, violence, atmospheric, action, romantic, revenge, sadist"
"tt1315981"	"A Single Man"	"romantic, queer, flashback"
"tt0249380"	"Baise-moi"	"gothic, cruelty, violence, cult, revenge, sadist"
"tt0408790"	"Flightplan"	"mystery, suspenseful, action, murder, flashback"
"tt0021079"	"Little Caesar"	"violence"
"tt1615065"	"Savages"	"revenge, neo noir, murder, violence, flashback"
"tt0089606"	"Mitt liv som hund"	"cult, prank"
"tt0078908"	"The Brood"	"cult, psychedelic, murder, violence"
"tt0795493"	"Cassandra's Dream"	"tragedy, dramatic, murder"
"tt0093389"	"The Last Emperor"	"murder"
"tt0120899"	"My Life So Far"	"flashback, autobiographical, home movie"
"tt1937113"	"Call of Duty: Modern Warfare 3"	"good versus evil"
"tt1232776"	"Fish Tank"	"suspenseful, depressing, realism"
"tt0402399"	"The New World"	"boring, murder, cult, violence, atmospheric, haunting, romantic, sentimental"
"tt1619029"	"Jackie"	"flashback"
"tt0102007"	"The Haunted"	"paranormal, horror, haunting"
"tt0398712"	"Assault on Precinct 13"	"suspenseful, neo noir, murder, violence, action, revenge"
"tt0036868"	"The Best Years of Our Lives"	"romantic, historical, storytelling"
"tt0116571"	"House Arrest"	"romantic, home movie"
"tt0104779"	"Bitter Moon"	"comedy, cruelty, murder, sadist, flashback, revenge, storytelling"
"tt2005374"	"The Frozen Ground"	"dramatic, murder"
"tt0865556"	"The Forbidden Kingdom"	"fantasy, murder, violence, flashback, philosophical, revenge"
"tt1454029"	"The Help"	"historical, feel-good"
"tt1411238"	"No Strings Attached"	"boring, adult comedy, cute, flashback, romantic, entertaining"
"tt0118689"	"Bean"	"cult, comedy, entertaining"
"tt1716772"	"The Inbetweeners Movie"	"bleak, comedy, humor, entertaining"
"tt0055505"	"Taste of Fear"	"murder"
"tt0053559"	"13 Ghosts"	"revenge, murder"
"tt0370032"	"Ultraviolet"	"cult, stupid, atmospheric, violence, romantic"
"tt0087472"	"The Initiation"	"cult, murder, violence, prank"
"tt5700672"	"Busanhaeng"	"violence"
"tt0350774"	"Dead & Breakfast"	"cult, murder, flashback"
"tt0365485"	"The Matador"	"psychedelic, comedy, murder, storytelling, flashback"
"tt0120102"	"Seven Years in Tibet"	"violence, historical"
"tt0219653"	"Dracula 2000"	"comedy, suspenseful, gothic, murder, paranormal, cult, violence, plot twist, flashback, good versus evil, psychedelic, humor, revenge"
"tt0298228"	"Whale Rider"	"dramatic, boring"
"tt4731136"	"A Cure for Wellness"	"paranormal, suspenseful, gothic, flashback"
"tt0093603"	"Nayakan"	"revenge, cruelty, murder, violence, romantic"
"tt0373283"	"Saints and Soldiers"	"murder, flashback"
"tt0948470"	"The Amazing Spider-Man"	"murder, violence, flashback, good versus evil, humor, action, romantic, revenge, entertaining"
"tt1109624"	"Paddington"	"comedy"
"tt4226388"	"Victoria"	"tragedy"
"tt0046521"	"I vitelloni"	"romantic"
"tt3832914"	"War Room"	"christian film"
"tt0070222"	"Invasion of the Bee Girls"	"tragedy, pornographic, murder"
"tt0233298"	"Batman Beyond: Return of the Joker"	"comedy, gothic, murder, cult, violence, flashback, good versus evil, insanity, psychedelic, brainwashing, sci-fi"
"tt0078748"	"Alien"	"dark, boring, gothic, murder, mystery, cult, violence, horror, atmospheric, action, claustrophobic, suspenseful, sci-fi"
"tt1094249"	"Hotel Chevalier"	"romantic"
"tt1059969"	"Spud"	"entertaining"
"tt0857295"	"Timber Falls"	"violence"
"tt0298814"	"The Core"	"psychedelic"
"tt0035140"	"Now, Voyager"	"romantic, psychological, flashback"
"tt0249115"	"Rivals"	"murder"
"tt2937898"	"A Most Violent Year"	"violence"
"tt0100691"	"Stella"	"melodrama"
"tt1234548"	"The Men Who Stare at Goats"	"comedy, boring, historical fiction, flashback, absurd, humor, satire"
"tt0044079"	"Strangers on a Train"	"insanity, comedy, suspenseful, psychedelic, murder"
"tt0112864"	"Die Hard with a Vengeance"	"comedy, suspenseful, mystery, murder, cult, violence, flashback, insanity, humor, action, revenge"
"tt1479962"	"Red Dead Redemption"	"good versus evil, violence, revenge, cruelty, murder"
"tt0902272"	"Justice League: The New Frontier"	"violence"
"tt1194173"	"The Bourne Legacy"	"brainwashing, violence, action, murder, flashback"
"tt0080117"	"The Wanderers"	"cult, romantic"
"tt0056059"	"Hatari!"	"cult, violence, romantic"
"tt0105690"	"Under Siege"	"comedy, violence, cult, humor, action, suspenseful"
"tt1175491"	"W."	"revenge, comedy, satire, historical, flashback"
"tt0256009"	"El espinazo del diablo"	"dark, suspenseful, murder, paranormal, haunting, flashback, psychedelic, revenge, storytelling"
"tt0488085"	"Big Nothing"	"dark, comedy, neo noir, murder, cult, violence, entertaining, sadist"
"tt2402105"	"Dom Hemingway"	"revenge"
"tt0880648"	"Shuttle"	"murder"
"tt2216240"	"Kapringen"	"dramatic, suspenseful, mystery"
"tt1270262"	"The Devil's Double"	"revenge, historical, murder"
"tt0060397"	"Fantastic Voyage"	"cult, suspenseful, psychedelic, claustrophobic"
"tt1196946"	"The Mentalist"	"paranormal, murder"
"tt0072890"	"Dog Day Afternoon"	"comedy, atmospheric"
"tt0093565"	"Moonstruck"	"romantic, humor, entertaining, boring"
"tt0082694"	"Mad Max 2"	"comedy, boring, cruelty, murder, cult, violence, atmospheric, good versus evil, action"
"tt0419449"	"Antares"	"sadist"
"tt0072730"	"A Boy and His Dog"	"comedy, murder, cult, alternate reality, psychedelic, satire, alternate history"
"tt0088889"	"Cat's Eye"	"cult, entertaining, sadist"
"tt1409004"	"Bloomington"	"romantic"
"tt0034398"	"The Wolf Man"	"good versus evil, cult, gothic, murder, haunting"
"tt0076716"	"Sinbad and the Eye of the Tiger"	"good versus evil, revenge, cult"
"tt0310793"	"Bowling for Columbine"	"brainwashing, violence, satire, murder, stupid"
"tt0365830"	"Tenacious D in The Pick of Destiny"	"bleak, cult, comedy, satire, entertaining"
"tt1778258"	"Fuk sau che chi sei"	"violence, revenge, sadist"
"tt1099212"	"Twilight"	"fantasy, gothic, murder, boring, cult, violence, good versus evil, romantic"
"tt2015381"	"Guardians of the Galaxy"	"fantasy, murder, violence, flashback, good versus evil, psychedelic, humor, action, comic, revenge, entertaining, sci-fi"
"tt1843866"	"Captain America: The Winter Soldier"	"murder, violence, flashback, good versus evil, humor, action, brainwashing, suspenseful"
"tt0443527"	"The Hamiltons"	"cruelty, murder, home movie"
"tt0249371"	"Asoka"	"violence, historical, murder, storytelling"
"tt0035664"	"Bataan"	"cult, violence"
"tt0099763"	"Henry: Portrait of a Serial Killer"	"dark, psychological, grindhouse film, murder, cult, horror, violence, insanity, sadist"
"tt1637688"	"In Time"	"suspenseful, boring, murder, mystery, thought-provoking, violence, flashback, revenge, sci-fi"
"tt0069005"	"Night of the Lepus"	"cult"
"tt0094592"	"14 Going on 30"	"romantic"
"tt1270479"	"The Mummy: Tomb of the Dragon Emperor"	"suspenseful, violence"
"tt0110632"	"Natural Born Killers"	"comedy, cruelty, murder, neo noir, cult, violence, flashback, insanity, psychedelic, satire, romantic, revenge, sadist"
"tt1596350"	"This Means War"	"entertaining, revenge, murder, violence"
"tt1551632"	"Rizzoli & Isles"	"murder"
"tt0783598"	"Until Death"	"neo noir, murder, cult, revenge, violence, melodrama, tragedy, suspenseful"
"tt0088757"	"Avenging Angel"	"cult"
"tt0414982"	"Final Destination 3"	"violence, horror, gothic, sadist"
"tt0102724"	"Psycho IV: The Beginning"	"insanity, murder, flashback"
"tt3397884"	"Sicario"	"suspenseful, neo noir, murder, violence, tragedy, revenge"
"tt0901494"	"Life Is Hot in Cracktown"	"murder"
"tt0112288"	"The Addiction"	"philosophical, cult, murder, violence"
"tt0101516"	"Bugsy"	"revenge, comedy, murder, violence"
"tt0091474"	"Manhunter"	"dark, gothic, murder, neo noir, cult, violence, atmospheric, good versus evil, insanity, suspenseful, sadist, home movie"
"tt0036696"	"The Canterville Ghost"	"haunting, flashback"
"tt0102960"	"Sometimes They Come Back"	"flashback, cult, murder, home movie"
"tt1144884"	"The Final Destination"	"violence, flashback"
"tt0337573"	"Antikörper"	"mystery, cruelty, murder, flashback, good versus evil, insanity, sadist"
