iter	RMSE
0	2.193213202
1	2.185035338
2	2.176231384
3	2.168238632
4	2.159343849
5	2.152301853
6	2.143588623
7	2.135744348
8	2.129096455
9	2.121470083
10	2.113501677
11	2.105453706
12	2.097987396
13	2.090367149
14	2.082939598
15	2.076551446
16	2.069326715
17	2.062965357
18	2.056203459
19	2.049415067
20	2.042630497
21	2.036069946
22	2.029452015
23	2.023954276
24	2.017541761
25	2.010935968
26	2.004423317
27	1.999133826
28	1.993276317
29	1.987604263
30	1.982038376
31	1.975901861
32	1.96999318
33	1.963921069
34	1.958635865
35	1.953437779
36	1.947434537
37	1.942034372
38	1.937228243
39	1.932112936
40	1.926763298
41	1.921827413
42	1.9163454
43	1.911320754
44	1.905934292
45	1.901221654
46	1.896406776
47	1.891421624
48	1.886527915
49	1.881781935
50	1.877682911
51	1.873108569
52	1.868998653
53	1.864575193
54	1.859647854
55	1.855039984
56	1.851176015
57	1.846802674
58	1.842800153
59	1.838664121
60	1.834089384
61	1.829703732
62	1.82592573
63	1.82257829
64	1.818659165
65	1.815154149
66	1.810925348
67	1.807324673
68	1.803362958
69	1.800008105
70	1.795959285
71	1.792425
72	1.789070645
73	1.785176355
74	1.781494379
75	1.777244504
76	1.773947126
77	1.771009383
78	1.767371937
79	1.763976858
80	1.760584165
81	1.757578861
82	1.753666056
83	1.750299837
84	1.747437005
85	1.744512697
86	1.741160859
87	1.738315101
88	1.735164126
89	1.732130382
90	1.729311242
91	1.726710633
92	1.72410847
93	1.72107383
94	1.718030013
95	1.71449805
96	1.711535178
97	1.708625759
98	1.705928985
99	1.703547042
100	1.701125618
101	1.698376828
102	1.695982362
103	1.693264637
104	1.69063633
105	1.688105136
106	1.685733049
107	1.682950577
108	1.680392297
109	1.678375092
110	1.675936731
111	1.673508098
112	1.671025607
113	1.668790992
114	1.666437104
115	1.664136237
116	1.662217572
117	1.660010613
118	1.657571508
119	1.655202802
120	1.653324304
121	1.651254481
122	1.648965865
123	1.647082614
124	1.645206946
125	1.643334329
126	1.641117683
127	1.638900821
128	1.63689026
129	1.63531897
130	1.633200851
131	1.631556846
132	1.629897231
133	1.628094857
134	1.626325718
135	1.624788951
136	1.622919272
137	1.621041686
138	1.619110764
139	1.617465807
140	1.615934932
141	1.614307148
142	1.612703178
143	1.610859762
144	1.609120444
145	1.607322166
146	1.605615102
147	1.604020715
148	1.602389746
149	1.601023077
150	1.599374853
151	1.598008936
152	1.596533107
153	1.595120794
154	1.593839327
155	1.59191141
156	1.590612889
157	1.589266953
158	1.587708842
159	1.58642246
160	1.584938252
161	1.58344105
162	1.582286379
163	1.581098528
164	1.579679471
165	1.578325428
166	1.577142325
167	1.575632542
168	1.574241711
169	1.572939696
170	1.571996843
171	1.570780368
172	1.569302335
173	1.567741976
174	1.566767813
175	1.565805517
176	1.564557748
177	1.563615
178	1.562423045
179	1.56119182
180	1.559974672
181	1.558715327
182	1.557559007
183	1.55635947
184	1.555199627
185	1.553821594
186	1.55279436
187	1.551708203
188	1.550280475
189	1.548929222
190	1.548019445
191	1.54702193
192	1.545954331
193	1.54521165
194	1.544085528
195	1.543309712
196	1.542427689
197	1.541418161
198	1.540416536
199	1.539305105
200	1.538346474
201	1.537438461
202	1.536579787
203	1.535668058
204	1.534644627
205	1.533779758
206	1.532990482
207	1.531891925
208	1.531037553
209	1.529908472
210	1.528980599
211	1.528180054
212	1.527348213
213	1.52647335
214	1.525809596
215	1.525053625
216	1.524112344
217	1.522962744
218	1.522090701
219	1.52122306
220	1.520409916
221	1.519445928
222	1.518542598
223	1.517744507
224	1.516971906
225	1.51624095
226	1.515480879
227	1.514734189
228	1.51390483
229	1.513000567
230	1.512241938
231	1.511688747
232	1.51092453
233	1.510023041
234	1.509336148
235	1.508502576
236	1.507950478
237	1.507163509
238	1.506254582
239	1.505532445
240	1.504867007
241	1.504167103
242	1.503484292
243	1.502571266
244	1.501826307
245	1.5012997
246	1.50058115
247	1.499761644
248	1.499142525
249	1.498433104
250	1.497839622
251	1.497031566
252	1.496350549
253	1.495640849
254	1.494893109
255	1.494057556
256	1.493378323
257	1.492860363
258	1.492238868
259	1.491655852
260	1.490798537
261	1.490076395
262	1.489461761
263	1.488766759
264	1.488018409
265	1.487369359
266	1.486750218
267	1.486125882
268	1.485504038
269	1.485059312
270	1.484487761
271	1.483678973
272	1.48295515
273	1.482297293
274	1.48183232
275	1.481294967
276	1.480707753
277	1.480064626
278	1.479480744
279	1.478732502
280	1.478217828
281	1.477838986
282	1.477490097
283	1.476859806
284	1.476058799
285	1.475479457
286	1.474991588
287	1.474505008
288	1.473937324
289	1.473495686
290	1.472915328
291	1.472320102
292	1.471867572
293	1.471308897
294	1.470804491
295	1.470325144
296	1.469806083
297	1.469253018
298	1.468629693
299	1.468148516
300	1.467662719
301	1.467161931
302	1.466794378
303	1.46636658
304	1.465763402
305	1.465139844
306	1.464716054
307	1.464183907
308	1.463756161
309	1.46329199
310	1.462854695
311	1.462449457
312	1.46204681
313	1.461460125
314	1.460944058
315	1.460592895
316	1.460056954
317	1.45954807
318	1.459099019
319	1.458711239
320	1.458308052
321	1.457728665
322	1.457369934
323	1.456847372
324	1.456509806
325	1.456092379
326	1.455615823
327	1.455087158
328	1.454654568
329	1.454288775
330	1.45378682
331	1.453381167
332	1.452930011
333	1.452528187
334	1.452076891
335	1.451623459
336	1.451121981
337	1.450761695
338	1.450347817
339	1.449992776
340	1.449619966
341	1.449192128
342	1.448847739
343	1.448467991
344	1.448120064
345	1.447814197
346	1.447375014
347	1.446941141
348	1.446671908
349	1.446409247
350	1.446070909
351	1.445769375
352	1.445427801
353	1.44505228
354	1.444708576
355	1.444266926
356	1.443749529
357	1.443282005
358	1.443000825
359	1.442681505
360	1.442356054
361	1.441933004
362	1.441557788
363	1.441088619
364	1.440740344
365	1.440340307
366	1.43997598
367	1.439439877
368	1.439067858
369	1.438747625
370	1.43837966
371	1.438077625
372	1.437710096
373	1.437357858
374	1.436992862
375	1.436661056
376	1.436230448
377	1.435838878
378	1.435504222
379	1.435249588
380	1.434864311
381	1.434466284
382	1.434213649
383	1.433949642
384	1.433674039
385	1.433418132
386	1.433063309
387	1.432679936
388	1.432368384
389	1.432014343
390	1.431592299
391	1.431254487
392	1.430859202
393	1.430575762
394	1.43036802
395	1.430068719
396	1.429741172
397	1.429455887
398	1.429126409
399	1.42881811
400	1.428622823
401	1.428338372
402	1.428049024
403	1.427694003
404	1.427389577
405	1.427066344
406	1.426669291
407	1.42636681
408	1.426055238
409	1.425760993
410	1.425492349
411	1.425220524
412	1.42495698
413	1.424516118
414	1.424239405
415	1.423936636
416	1.423650725
417	1.423322012
418	1.422928635
419	1.422628126
420	1.422345297
421	1.421964622
422	1.421601297
423	1.421377777
424	1.421011407
425	1.42079842
426	1.420582888
427	1.420217442
428	1.41999422
429	1.419737977
430	1.419513038
431	1.419249535
432	1.418964094
433	1.418698612
434	1.41829336
435	1.418046696
436	1.417782932
437	1.417480183
438	1.417215558
439	1.416996834
440	1.41670877
441	1.416441861
442	1.416187749
443	1.416043116
444	1.415796504
445	1.415551406
446	1.415310206
447	1.415016229
448	1.414789259
449	1.414372979
450	1.414112305
451	1.413830556
452	1.413659559
453	1.413452464
454	1.413205496
455	1.412910258
456	1.412648697
457	1.412309151
458	1.412017088
459	1.41181129
460	1.41160394
461	1.411364562
462	1.411086973
463	1.410883179
464	1.410433471
465	1.410084264
466	1.409870935
467	1.409693427
468	1.409465059
469	1.409228333
470	1.408990648
471	1.408693063
472	1.40830718
473	1.407990074
474	1.407706904
475	1.407407094
476	1.407058511
477	1.406811252
478	1.406555823
479	1.406029384
480	1.405839175
481	1.40558087
482	1.405267688
483	1.405014136
484	1.404755615
485	1.404442669
486	1.404098296
487	1.403916559
488	1.403764841
489	1.403476005
490	1.403294661
491	1.403062822
492	1.402852326
493	1.402715166
494	1.402522634
495	1.402311285
496	1.402070239
497	1.401781364
498	1.40153215
499	1.401316629
