budget,runtime,spoken_languages,weekend,genre__mystery,genre__crime,genre__romance,genre__action,genre__adventure,genre__thriller,genre__animation,genre__family,genre__drama,genre__comedy,genre__documentary,genre__history,genre__fantasy,genre__horror,country__us,country__in,country__ru,day_sin,day_cos,month_sin,month_cos,competition,rating__pg,rating__pg-13,rating__r,rating__nc-17,country__other,tag__murder,tag__violence,tag__flashback,tag__romantic,tag__cult,tag__revenge,tag__psychedelic,tag__comedy,tag__suspenseful,tag__good_versus_evil,tag__humor,tag__satire,tag__entertaining,tag__neo_noir,tag__action,tag__insanity,tag__fantasy,tag__boring,tag__mystery,tag__melodrama,tag__gothic,tag__dramatic,tag__atmospheric,tag__historical,tag__prank,tag__realism,tag__cute,tag__stupid,tag__home_movie,tag__thought_provoking,tag__inspiring,tag__other,cast_1_gender,cast_2_gender,cast_4_gender,cast_5_gender,cast_6_gender,cast_7_gender,cast_8_gender,homepage_exists,homepage_repeats,production_company_1_avg_profit,production_company_1_avg_revenue,production_company_2_avg_profit,production_company_2_avg_revenue,production_company_3_avg_profit,production_company_3_avg_revenue,cast_1_avg_profit,cast_1_experience,cast_1_avg_revenue,cast_1_movies_before,cast_2_avg_profit,cast_2_experience,cast_2_avg_revenue,cast_2_movies_before,cast_3_avg_profit,cast_3_experience,cast_3_avg_revenue,cast_3_movies_before,cast_4_avg_profit,cast_4_experience,cast_4_avg_revenue,cast_4_movies_before,cast_5_avg_profit,cast_5_experience,cast_5_avg_revenue,cast_5_movies_before,cast_6_avg_profit,cast_6_experience,cast_6_avg_revenue,cast_6_movies_before,cast_7_avg_profit,cast_7_experience,cast_7_avg_revenue,cast_7_movies_before,cast_8_avg_profit,cast_8_experience,cast_8_avg_revenue,cast_8_movies_before,crew__sound__music_editor_avg_profit,crew__sound__music_editor_avg_revenue,crew__sound__music_editor_movies_before,crew__sound__original_music_composer_avg_profit,crew__sound__original_music_composer_avg_revenue,crew__sound__original_music_composer_movies_before,crew__sound__sound_designer_avg_profit,crew__sound__sound_designer_avg_revenue,crew__sound__sound_designer_movies_before,crew__sound__sound_effects_editor_avg_profit,crew__sound__sound_effects_editor_avg_revenue,crew__sound__sound_effects_editor_movies_before,crew__sound__sound_re_recording_mixer_avg_profit,crew__sound__sound_re_recording_mixer_avg_revenue,crew__sound__sound_re_recording_mixer_movies_before,crew__sound__supervising_sound_editor_avg_profit,crew__sound__supervising_sound_editor_avg_revenue,crew__sound__supervising_sound_editor_movies_before,crew__directing__director_avg_profit,crew__directing__director_avg_revenue,crew__directing__director_movies_before,crew__directing__script_supervisor_avg_profit,crew__directing__script_supervisor_avg_revenue,crew__directing__script_supervisor_movies_before,crew__production__casting_avg_profit,crew__production__casting_avg_revenue,crew__production__casting_movies_before,crew__production__executive_producer_avg_profit,crew__production__executive_producer_avg_revenue,crew__production__executive_producer_movies_before,crew__production__producer_1_avg_profit,crew__production__producer_1_avg_revenue,crew__production__producer_1_movies_before,crew__production__producer_2_avg_profit,crew__production__producer_2_avg_revenue,crew__production__producer_2_movies_before,crew__editing__editor_avg_profit,crew__editing__editor_avg_revenue,crew__editing__editor_movies_before,crew__costume__costume_designer_avg_profit,crew__costume__costume_designer_avg_revenue,crew__costume__costume_designer_movies_before,crew__costume__costume_supervisor_avg_profit,crew__costume__costume_supervisor_avg_revenue,crew__costume__costume_supervisor_movies_before,crew__costume__makeup_artist_avg_profit,crew__costume__makeup_artist_avg_revenue,crew__costume__makeup_artist_movies_before,crew__crew__stunt_coordinator_avg_profit,crew__crew__stunt_coordinator_avg_revenue,crew__crew__stunt_coordinator_movies_before,crew__writing__screenplay_avg_profit,crew__writing__screenplay_avg_revenue,crew__writing__screenplay_movies_before,crew__art__art_direction_avg_profit,crew__art__art_direction_avg_revenue,crew__art__art_direction_movies_before,crew__art__production_design_avg_profit,crew__art__production_design_avg_revenue,crew__art__production_design_movies_before,crew__art__property_master_avg_profit,crew__art__property_master_avg_revenue,crew__art__property_master_movies_before,crew__art__set_decoration_avg_profit,crew__art__set_decoration_avg_revenue,crew__art__set_decoration_movies_before,crew__visualeffects__visual_effects_supervisor_avg_profit,crew__visualeffects__visual_effects_supervisor_avg_revenue,crew__visualeffects__visual_effects_supervisor_movies_before,crew__camera__director_of_photography_avg_profit,crew__camera__director_of_photography_avg_revenue,crew__camera__director_of_photography_movies_before,crew__camera__steadicam_operator_avg_profit,crew__camera__steadicam_operator_avg_revenue,crew__camera__steadicam_operator_movies_before,crew__camera__still_photographer_avg_profit,crew__camera__still_photographer_avg_revenue,crew__camera__still_photographer_movies_before,collection_avg_profit,collection_avg_revenue,cast_avg_avg_revenue,cast_avg_avg_profit,cast_avg_experience,cast_avg_movies_before,year_avg_revenue,year_avg_profit,META__revenue
4000000,98,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.9945218953682734,-0.10452846326765332,-1.1331077795295961e-15,1.0,0.5333333333333333,0,0,1,0,False,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,17656047.0,29204883.0,206179088.0,214179088.0,,,104888000.0,1,122888000.0,2,-2938999.0,8,1311001.0,2,,0,,0,146716387.0,7,167466387.0,4,44831265.0,9,79497932.0,3,,0,,0,10750363.0,2,22750363.0,1,,0,,0,,,0,,,0,195208430.0,276208430.0,2,153887717.0,215887717.0,1,,,0,,,0,,,0,,,0,,,0,,,0,206179088.0,214179088.0,1,,,0,10113182.0,13723182.0,2,,,0,206179088.0,214179088.0,1,,,0,,,0,,,0,21273609.0,42273609.0,1,-10859178.0,16140822.0,1,,,0,17341568.0,23341568.0,1,,,0,18405445.0,25405445.0,1,,,0,,,0,,,78782736.6,60849403.2,3.375,1.5,72480738.0,46581698.0,4257354
11000000,121,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,-0.9510565162951536,0.30901699437494723,0.7557495743542583,-0.654860733945285,0.6666666666666666,1,0,0,0,False,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,139223000.0,140000000.0,27445228.0,33524076.0,,,7800000.0,0,9000000.0,1,71021500.0,4,72210000.0,2,,0,,0,,0,,0,27551128.0,20,39884462.0,3,,0,,0,1169000.0,31,4100000.0,1,,0,,0,,,0,109720253.0,115677396.0,7,7700000.0,8000000.0,1,,,0,28400000.0,30900000.0,1,,,0,70441500.0,71218500.0,2,,,0,,,0,,,0,139223000.0,140000000.0,1,,,0,139223000.0,140000000.0,1,,,0,,,0,,,0,,,0,,,0,,,0,24389000.0,26589000.0,1,,,0,,,0,,,0,34931324.0,36611324.0,2,,,0,,,0,,,31298615.5,26885407.0,6.875,0.875,85749983.0,78452924.0,775398007
94000000,100,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,-0.20791169081775893,0.9781476007338056,0.7557495743542583,-0.654860733945285,0.0,0,0,0,0,False,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1,0,360499004.0,449249004.0,,,,,12499605.0,27,24159605.0,5,-5940462.0,4,9059538.0,1,,0,,0,79779897.0,19,113646563.0,15,110470146.0,8,152970146.0,2,112274702.0,6,143024702.0,4,-9321663.0,15,11678337.0,2,32542156.0,29,47542156.0,5,172542934.0,219542934.0,6,88510070.0,120945686.0,12,273794240.0,346865668.0,14,,,0,236169188.0,308919188.0,12,135926552.0,235926552.0,1,,,0,,,0,177323059.0,267489726.0,3,352350553.0,377350553.0,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,360499004.0,449249004.0,4,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,71725863.85714285,47472054.428571425,13.5,4.25,88310964.0,53919952.0,940335536
55000000,142,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0.8660254037844386,0.5000000000000001,-0.2817325568414294,-0.9594929736144976,0.6666666666666666,0,1,0,0,False,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,47187750.0,61447643.0,,,,,69915191.0,10,93515191.0,10,14857814.0,7,30857814.0,1,-3473303.0,2,1526697.0,1,48089408.0,5,59089408.0,3,118268076.0,17,132128076.0,5,,0,,0,,0,,0,,0,,0,148406376.0,178489710.0,6,160749464.0,188234464.0,8,,,0,,,0,5060247.0,14560247.0,1,218557008.0,284557008.0,2,187784981.0,211184981.0,5,73455382.0,95455382.0,4,84568197.0,114568197.0,2,,,0,-2563789.0,6436211.0,1,,,0,159447005.0,191018434.0,7,146968862.0,182218862.0,4,,,0,118126255.0,132251255.0,4,-5833926.0,6666074.0,2,-984312.0,13015688.0,1,452419597.0,502086264.0,3,344804396.0,384304396.0,4,386006740.0,411006740.0,1,5097212.0,27097212.0,2,248263792.0,288263792.0,2,,,0,,,0,54831982.0,84531982.0,5,,,63423437.2,49531437.2,5.125,2.5,94501336.0,66487593.0,677387716
15000000,122,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.2079116908177593,-0.9781476007338056,-0.9898214418809328,-0.14231483827328525,2.833333333333333,0,0,1,0,False,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,,,25003004.0,68603004.0,,,47704773.0,10,82354773.0,10,17836965.0,11,57861965.0,8,44362077.0,8,74695410.0,3,,0,,0,502773.0,1,5502773.0,1,67576763.0,3,100076763.0,2,35934069.0,2,71934069.0,3,89381558.0,7,101881558.0,2,80943433.0,118443433.0,2,26156047.0,49902818.0,7,,,0,,,0,-4327920.0,53672080.0,1,,,0,,,0,381733414.0,463533414.0,5,95113297.0,127269547.0,8,,,0,203634473.0,254967807.0,3,,,0,73247301.0,89247301.0,4,17253519.0,38003519.0,6,-13683727.0,16316273.0,1,,,0,27540880.0,38790880.0,2,,,0,26230004.0,36063338.0,3,-4053763.0,8946237.0,1,2066240.0,14066240.0,2,29136042.0,73136042.0,2,,,0,17571266.0,35271266.0,6,,,0,16663120.0,64163120.0,2,,,70615330.14285715,43328425.428571425,5.25,3.625,76864529.0,41844572.0,356296601
839727,119,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.20791169081775893,0.9781476007338056,0.9898214418809328,-0.142314838273285,0.0,1,0,0,0,False,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0,0,2223544.0,3099767.0,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,5077900.0,6877900.0,1,892000.0,2807000.0,1,,,0,,,0,,,0,,,0,1476817.0,2548983.0,6,,,0,,,0,2984950.0,4842450.0,2,,,0,,,0,,,0,,,0,,,,,0.0,0.0,11426890.0,10389708.0,23217674
90000000,126,3,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0.2079116908177593,0.9781476007338056,0.7557495743542583,-0.654860733945285,1.3666666666666667,0,1,0,0,False,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,0,28019557.0,47143870.0,-39808601.0,7191399.0,22058623.0,40893623.0,96981491.0,9,133814824.0,12,41726200.0,11,64720779.0,7,24962821.0,21,38712821.0,6,-8192146.0,6,2807854.0,1,,0,,0,9624456.0,5,16624456.0,1,2956020.0,15,24617020.0,5,,0,,0,,,0,294194034.0,352194034.0,1,276101666.0,366101666.0,1,,,0,,,0,,,0,,,0,16231658.0,22231658.0,1,,,0,,,0,,,0,,,0,,,0,-16261389.0,1738611.0,1,,,0,138000000.0,210000000.0,1,109773545.0,159773545.0,1,,,0,,,0,,,0,305000000.0,333000000.0,1,14857814.0,30857814.0,1,,,0,-10248086.0,8751914.0,2,185925792.0,218425792.0,2,,,0,,,46882959.0,28009807.0,8.375,4.0,77093880.0,42069348.0,263920180
92620000,153,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.9510565162951536,-0.3090169943749473,0.0,1.0,0.0,1,0,0,0,False,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,,,0.0,0.0,650422.0,-91969578.0,650422
2500000,106,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.9510565162951536,0.30901699437494745,0.9096319953545184,0.4154150130018864,0.95,0,0,1,0,False,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,2882488.0,4134636.0,,,,,-12900358.0,15,3045642.0,5,-7906557.0,10,5168443.0,4,-7573539.0,3,7926461.0,2,,0,,0,,0,,0,,0,,0,-5686274.0,6,938726.0,2,,0,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,74861623.0,122528290.0,6,6479298.0,7179298.0,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,4269818.0,-8516682.0,4.25,1.625,88310964.0,53919952.0,12267275
30000000,111,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9510565162951536,-0.3090169943749473,-0.9096319953545186,0.4154150130018861,0.95,0,0,1,0,False,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0,37776274.0,54515077.0,60236555.0,70986555.0,,,32615647.0,11,57435647.0,5,49514363.0,4,121714363.0,5,1915057.0,7,19248390.0,6,2810706.0,21,27783433.0,11,31313750.0,28,37063750.0,4,37380336.0,12,58630336.0,4,,0,,0,,0,,0,36687698.0,84187698.0,2,7400000.0,9400000.0,1,58895940.0,132062606.0,6,85782029.0,137102029.0,10,74352240.0,143352240.0,2,113233072.0,152983072.0,4,116926125.0,126926125.0,2,,,0,,,0,93059217.0,117225006.0,38,68549028.0,89215694.0,6,,,0,98859608.0,118484608.0,4,-294158.0,255842.0,2,10764652.0,39764652.0,2,46402320.0,76402320.0,4,,,0,,,0,27673162.0,39673162.0,1,47535888.0,61952555.0,6,97328769.0,133828769.0,2,116926125.0,126926125.0,2,,,0,56658086.0,84616419.0,12,55990309.0,93390309.0,10,163196029.0,241923302.0,11,,,53645986.5,25924976.5,10.375,4.375,88310964.0,53919952.0,180899045
